2018-01-01	매출	88002002	멸균우유 200ml	716	69	0	49404
2018-01-01	매출	88002088	(신)허쉬드링크	2500	91	0	227500
2018-01-02	매출	88002712	요플레딸기100g	1000	57	0	57000
2018-01-02	매출	88002798	바나나우유	700	57	0	39900
2018-01-03	매출	88003429	심플(갑)	1100	91	0	100100
2018-01-03	매출	88003443	로크럭스	700	92	0	64400
2018-01-03	매출	88003467	레종후레시	1500	87	0	130500
2018-01-04	매출	88003672	인디고	2000	73	0	146000
2018-01-04	매출	880043052214	신라면큰사발	1100	65	0	71500
2018-01-04	매출	88004334	빅썬사과	393	50	0	19650
2018-01-05	매출	88004617	순두유 230ml	3000	82	0	246000
2018-01-06	매출	88004792	헬로엔요 190ml	700	57	0	39900
2018-01-07	매출	88006604	디스플러스(갑)	393	68	0	26724
2018-01-07	매출	88006611	디스(갑)	791	69	0	54579
2018-01-07	매출	88006642	에쎄클래식	1000	52	0	52000
2018-01-07	매출	88009681	타임리스타임(갑)	700	86	0	60200
2018-01-09	매출	8801007022031	컨디션	1000	86	0	86000
2018-01-09	매출	8801007070841	컨디션파워	3200	87	0	278400
2018-01-09	매출	8801019201691	티피500	1000	87	0	87000
2018-01-09	매출	8801019203367	티피	1000	70	0	70000
2018-01-10	매출	8801019203541	화이트엔젤큐티	1500	55	0	82500
2018-01-10	매출	8801019301728	샤브레	700	52	0	36400
2018-01-11	매출	8801019301759	버터링	3800	73	0	277400
2018-01-11	매입	8801019301940	초코픽	0	68	0	0
2018-01-12	매입	8801019302428	에이스	1696	60	101760	0
2018-01-12	매입	8801019302596	후렌치파이딸기	655	77	50435	0
2018-01-14	매입	8801019302862	뉴롤리폴리	2098	65	136370	0
2018-01-15	매입	8801019302909	땅콩그래	368	82	30176	0
2018-01-16	매입	8801019303029	입안가득초코칩	1229	76	93404	0
2018-01-16	매입	8801019303036	오미오미누룽지	655	75	49125	0
2018-01-16	매입	8801019304316	오예스	0	60	0	0
2018-01-16	매입	8801019304361	에이스(소)	651	67	43617	0
